他感冒了。	tā gǎnmào le	He caught a cold.
不用麻烦了。	bùyòng máfan le	Don't bother.
很好，谢谢。	hěn hǎo xièxie	Fine, thanks.
我这就上路。	wǒ zhè jiù shànglù	I'm on my way.
让我想一想。	ràng wǒ xiǎng yī xiǎng	Let me see.
不是我的错。	bùshì wǒ de cuò	It's not my fault.
都是我的错。	dōu shì wǒ de cuò	It's all my fault.
你干得很好。	nǐ gàn dehěn hǎo	You did a good job.
我每晚洗澡.	wǒ měi wǎn xǐzǎo	I bath every night.
他年近四十。	tā nián jìn sìshí	He is near forty.
这需要时间。	zhè xūyào shíjiān	It takes time.
我不太清楚。	wǒ bù tài qīngchu	I'm not really sure.
电话响了。	diànhuà xiǎng le	The telephone is ringing.
我怎么知道。	wǒ zěnme zhīdào	How should I know.
母牛流产了。	mǔ niú liúchǎn le	The cow cast her calf.
它不是手表。	tā bùshì shǒubiǎo	It is not a watch.
请把门打开。	qǐng bǎmén dǎkāi	Open the door, please.
谢谢您，先生。	xièxie nín xiānsheng	Thank you, sir.
你会习惯的。	nǐ huì xíguàn de	You'll get used to it.
啤酒走了气了。	píjiǔ zǒu le qì le	The beer is stale.
我马上就来。	wǒ mǎshàng jiù lái	I'll be right with you.
把这本书给她。	bǎ zhè běn shū gěi tā	Give her the book.
他唱最高音部。	tā chàng zuì gāoyīnbù	He sings treble.
也许下一次吧。	yěxǔ xiàyīcì ba	Maybe some other time.
他正在开会。	tā zhèngzài kāihuì	He is in conference.
好久不见了。	hǎojiǔbujiàn le	Haven't seen you for ages.
请再说一遍。	qǐng zàishuō yībiàn	Say that again, please.
一切都会好的。	yīqiè dūhuì hǎo de	Everything will be OK.
他喜欢吹牛。	tā xǐhuan chuīniú	He likes to throw the bull.
她穿上袜子。	tā chuānshang wàzi	She draws on her socks.
我有许多唱片。	wǒ yǒu xǔduō chàngpiàn	I have many discs.
日子不好过啊。	rìzi bùhǎo guò ā	Pretty tough day to day.
我的钢笔是新的。	wǒ de gāngbǐ shì xīn de	My pen is new.
他不喜欢吃鱼。	tā bù xǐhuan chī yú	He doesn't care for fish.
很高兴认识你。	hěn gāoxìng rènshi nǐ	It's nice meeting you.
这对我太合适了。	zhè duì wǒ tài héshì le	Suits me fine.
是的，当然可以。	shìde dāngrán kěyǐ	Yes, certainly.
我坐在他旁边。	wǒ zuò zài tā pángbiān	I sat by his side.
他在她的旁边。	tā zài tā de pángbiān	He is being side her.
请把菜单给我。	qǐng bǎ càidān gěi wǒ	Please show me the menu.
他刚请假走了.	tā gāng qǐngjià zǒu le	He's just gone on leave.
我的电话坏了。	wǒ de diànhuà huài le	My phone was out of order.
你的眼力不错。	nǐ de yǎnlì bùcuò	You've made a good choice.
六除以二得三。	liù chúyǐ èr dé sān	Six divided by two is three.
我正要找你。	wǒ zhèngyào zhǎo nǐ	Just the man I was looking for.
我确实得走了。	wǒ quèshí dé zǒu le	I really have to be going.
他跳上了桌子。	tā tiào shàng le zhuōzi	He jumped onto the table.
出现了新困难.	chūxiàn le xīn kùnnan	A new difficulty has arisen.
昨晚是满月。	zuówǎn shì mǎnyuè	Last night there was a full moon.
他的帽子没戴正.	tā de màozi méi dài zhèng	His hat isn't on straight.
他也学习汉语。	tā yě xuéxí Hànyǔ	He studies Chinese as well.
祝你下一次好运。	zhù nǐ xiàyīcì hǎoyùn	Better luck next time.
他比我大两岁。	tā bǐ wǒ dà liǎng suì	He is my senior by two years.
这对我正合适。	zhè duì wǒ zhèng héshì	That suits me all right.
这方便得多了。	zhè fāngbiàn dé duō le	It's much more convenient.
我每天早上刮脸.	wǒ měitiān zǎoshang guāliǎn	I shave every morning.
下周学校复课。	xiàzhōu xuéxiào fùkè	School reopens next week.
我看你不应该。	wǒ kàn nǐ bù yīnggāi	I don't think you ought to.
祝你生日快乐。	zhù nǐ shēngrìkuàilè	I wish you a happy birthday.
你得等一等看。	nǐ dé děngyīděng kàn	You will have to wait and see.
你过来试试看。	nǐ guòlái shìshìkàn	Come on over to have a try.
我们是六点出发的.	wǒmen shì liù diǎn chūfā de	We started at six.
他紧握她的手。	tā jǐnwò tā de shǒu	He held her hand in a firm clasp.
我把袜子穿破了.	wǒ bǎ wàzi chuān pò le	I've worn holes in my socks.
现在五点差一刻。	xiànzài wǔ diǎn chà yī kè	It is a quarter to five.
